date, pm25, pm10, o3, no2, so2, co
2025/3/5, 50, 30, 40, 9, 3, 5
2025/3/6, 71, 46, 35, 21, 3, 5
2025/3/7, 104, 53, 50, 24, 4, 6
2025/3/8, 125, 34, 39, 15, 3, 4
2025/3/9, 84, 39, 30, 20, 2, 3
2025/3/10, 79, 44, 22, 20, 2, 3
2025/3/11, 121, 28, 24, 18, 2, 4
2025/3/12, 81, 28, 29, 13, 2, 3
2025/3/13, 71, 37, 30, 15, 2, 3
2025/3/14, 50, 22, 33, 10, 2, 3
2025/3/15, 48, 38, 35, 10, 3, 5
2025/3/16, 93, 44, 38, 25, 3, 4
2025/3/17, 100, 41, 39, 18, 4, 5
2025/3/18, 83, 36, 39, 20, 4, 4
2025/3/19, 76, 51, 57, 28, 4, 4
2025/3/20, 114, 54, 58, 35, 4, 5
2025/3/21, 120, 63, 66, 51, 4, 5
2025/3/22, 128, 65, 67, 29, 4, 5
2025/3/23, 129, 59, 62, 24, 3, 5
2025/3/24, 109, 77, 63, 32, 4, 5
2025/3/25, 127, 72, 93, 31, 5, 6
2025/3/26, 147, 59, 41, 17, 2, 5
2025/3/27, 122, 46, 31, 9, 2, 4
2025/3/28, 71, 54, 34, 13, 3, 5
2025/3/29, 98, 29, 38, 10, 3, 4
2025/3/30, 56, 33, 44, 12, 3, 4
2025/3/31, 66, 42, 46, 15, 3, 4
2024/10/1, 28, 21, 39, 5, 3, 3
2024/10/2, 40, 17, 39, 5, 4, 3
2024/10/3, 36, 18, 41, 6, 4, 3
2024/10/4, 36, 17, 36, 6, 3, 3
2024/10/5, 24, 12, 33, 8, 3, 4
2024/10/6, 26, 11, 36, 6, 3, 3
2024/10/7, 28, 31, 39, 9, 4, 5
2024/10/8, 91, 35, 46, 25, 4, 4
2024/10/9, 73, 55, 70, 29, 4, 6
2024/10/10, 131, 60, 64, 27, 4, 6
2024/10/11, 136, 43, 55, 21, 4, 4
2024/10/12, 106, 18, 44, 14, 3, 2
2024/10/13, 36, 35, 31, 17, 4, 3
2024/10/14, 49, 48, 24, 20, 4, 7
2024/10/15, 111, 22, 31, 15, 3, 3
2024/10/16, 66, 28, 35, 12, 3, 3
2024/10/17, 56, 37, 48, 14, 4, 2
2024/10/18, 63, 22, 29, 8, 3, 3
2024/10/19, 28, 33, 26, 10, 4, 3
2024/10/20, 28, 32, 17, 17, 3, 7
2024/10/21, 61, 36, 23, 13, 4, 7
2024/10/22, 95, 31, 31, 13, 4, 6
2024/10/23, 92, 20, 37, 13, 4, 3
2024/10/24, 44, 32, 39, 9, 4, 3
2024/10/25, 31, 9, 26, 8, 3, 2
2024/10/26, 14, 12, 32, 10, 3, 3
2024/10/27, 35, 42, 33, 11, 4, 4
2024/10/28, 107, 20, 36, 16, 4, 3
2024/10/29, 43, 26, 39, 11, 4, 4
2024/10/30, 52, 20, 33, 12, 4, 4
2024/10/31, 37, 7, 36, 5, 4, 3
2024/11/1, 13, 45, 43, 11, 4, 6
2024/11/2, 99, 53, 43, 24, 4, 8
2024/11/3, 136, 49, 58, 17, 4, 7
2024/11/4, 125, 22, 32, 9, 4, 4
2024/11/5, 34, 21, 34, 12, 4, 3
2024/11/6, 29, 25, 26, 16, 4, 4
2024/11/7, 23, 23, 34, 16, 4, 3
2024/11/8, 29, 28, 31, 12, 4, 4
2024/11/9, 50, 31, 35, 11, 4, 6
2024/11/10, 69, 36, 39, 17, 5, 6
2024/11/11, 98, 39, 38, 23, 5, 5
2024/11/12, 97, 41, 40, 20, 4, 6
2024/11/13, 114, 32, 32, 17, 6, 5
2024/11/14, 78, 45, 14, 18, 4, 7
2024/11/15, 125, 35, 29, 12, 3, 7
2024/11/16, 102, 18, 27, 7, 3, 6
2024/11/17, 49, 24, 27, 6, 3, 5
2024/11/18, 35, 24, 25, 10, 4, 5
2024/11/19, 36, 25, 21, 14, 3, 5
2024/11/20, 47, 55, 25, 19, 4, 7
2024/11/21, 119, 57, 36, 18, 4, 7
2024/11/22, 135, 15, 29, 13, 3, 4
2024/11/23, 42, 26, 25, 17, 3, 4
2024/11/24, 45, 29, 20, 15, 3, 4
2024/11/25, 60, 31, 24, 11, 3, 5
2024/11/26, 75, 54, 27, 17, 4, 4
2024/11/27, 69, 64, 26, 18, 4, 4
2024/11/28, 65, 49, 22, 22, 4, 5
2024/11/29, 61, 64, 21, 35, 5, 7
2024/11/30, 115, 56, 29, 33, 4, 6
2024/12/1, 105, 73, 26, 41, 5, 8
2024/12/2, 148, 62, 32, 19, 3, 6
2024/12/3, 124, 28, 27, 15, 4, 4
2024/12/4, 59, 44, 23, 18, 3, 6
2024/12/5, 98, 90, 24, 31, 4, 9
2024/12/6, 175, 83, 34, 21, 4, 7
2024/12/7, 165, 24, 27, 13, 4, 4
2024/12/8, 65, 31, 19, 23, 4, 5
2024/12/9, 65, 34, 20, 22, 3, 5
2024/12/10, 71, 40, 25, 18, 4, 8
2024/12/11, 102, 39, 21, 19, 4, 9
2024/12/12, 96, 50, 19, 18, 4, 7
2024/12/13, 100, 56, 21, 20, 4, 8
2024/12/14, 126, 61, 24, 26, 5, 7
2024/12/15, 119, 66, 26, 33, 5, 8
2024/12/16, 127, 76, 22, 44, 6, 10
2024/12/17, 148, 53, 25, 21, 4, 7
2024/12/18, 117, 31, 17, 16, 4, 6
2024/12/19, 69, 55, 19, 28, 4, 6
2024/12/20, 101, 72, 25, 23, 4, 7
2024/12/21, 148, 43, 22, 14, 3, 6
2024/12/22, 92, 35, 20, 17, 3, 5
2024/12/23, 69, 43, 20, 21, 3, 5
2024/12/24, 86, 63, 4, 39, 3, 6
2024/12/25, 125, 85, 33, 26, 4, 9
